"# Table S1: Curated Microvirus Genomes, plus additional Obscuriviridae",,,,,,,,,,,
Genome designation,Reported Source,Source Attribution for Analyses,GC content,Sequence Length (nt),Phylum,Class,Order,Family,Genus,Genus CRISPR prediction,CRISPR Prediction Correct?
Family3_GokushovirinaeB_Ly_CA14_ion_torrent_NODE_154_length_5237_cov_357819568,Human,Primate,46,5237,,,,,,,
Family3_GokushovirinaeB_Ly_CA15_ion_torrent_NODE_91_length_5565_cov_310910163,Human,Primate,47,5568,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium,Faecalibacterium,n/a
Family3_GokushovirinaeB_Ly_CA23_ion_torrent_NODE_159_length_5413_cov_1616853863,Human,Primate,44,5414,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium,Faecalibacterium,n/a
Family3_GokushovirinaeB_Ly_CA23_ion_torrent_NODE_174_length_5167_cov_127052817,Human,Primate,46,5167,,,,,,,
Family3_GokushovirinaeB_Ly_CA6_ion_torrent_NODE_170_length_5418_cov_26532911,Human,Primate,44,5418,,,,,,,
Family3_GokushovirinaeB_Ly_CA6_ion_torrent_NODE_178_length_5267_cov_203007675,Human,Primate,47,5267,,,,,,,
Family3_GokushovirinaeB_Ly_CA81_ion_torrent_NODE_71_length_5276_cov_158418885,Human,Primate,46,5278,,,,,,,
Family3_GokushovirinaeB_Ly_CA87_ion_torrent_NODE_71_length_5331_cov_41377748,Human,Primate,46,5333,,,,,,,
Family3_GokushovirinaeB_Ly_CA87_ion_torrent_NODE_72_length_5099_cov_2901111420,Human,Primate,45,5099,,,,,,,
Family3_GokushovirinaeB_Ly_CA90_ion_torrent_NODE_29_length_5708_cov_121134265,Human,Primate,47,5711,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium,Faecalibacterium,n/a
Family3_GokushovirinaeB_Ly_CA90_ion_torrent_NODE_31_length_5597_cov_57627030,Human,Primate,44,5597,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium,Faecalibacterium,n/a
Family3_GokushovirinaeB_Ly_CA90_ion_torrent_NODE_32_length_5402_cov_482692725,Human,Primate,47,5402,Firmicutes,Clostridia,Eubacteriales,,Lawsonibacter,Lawsonibacter,n/a
Family3_GokushovirinaeB_MG025518,Fur seal feces,Other mammal,41,4907,,,,,,,
Family3_GokushovirinaeB_MG641179,Alces alces,Other mammal,50,5312,,,,,,,
Family3_GokushovirinaeB_MG641180,Lynx canadensis,Other mammal,49,5265,,,,,,,
Family3_GokushovirinaeB_MG641182,Alces alces,Other mammal,38,5497,,,,,,,
Family3_GokushovirinaeB_MG641184,Alces alces,Other mammal,38,5360,,,,,,,
Family3_GokushovirinaeB_MG641186,Alces alces,Other mammal,37,4892,,,,,,,
Family3_GokushovirinaeB_MG883711,Pig,Other mammal,43,5311,,,,,,,
Family3_GokushovirinaeB_MG883717,Pig,Other mammal,46,5022,,,,,,,
Family3_GokushovirinaeB_MG883718,Pig,Other mammal,40,4837,,,,,,,
Family3_GokushovirinaeB_MG883719,Pig,Other mammal,44,4970,,,,,,,
Family3_GokushovirinaeB_MG883722,Pig,Other mammal,38,5003,,,,,,,
Family3_GokushovirinaeB_MG945134,Pig,Other mammal,43,5105,Firmicutes,Clostridia,Eubacteriales,,Emergencia,Emergencia,n/a
Family3_GokushovirinaeB_MG945135,Dog,Other mammal,49,5474,,,,,,,
Family3_GokushovirinaeB_MG945136,Pig,Other mammal,48,5433,,,,,,,
Family3_GokushovirinaeB_MG945138,Pig,Other mammal,48,5505,,,,,,,
Family3_GokushovirinaeB_MG945139,Pig,Other mammal,47,5185,,,,,,,
Family3_GokushovirinaeB_MG945142,Pig,Other mammal,48,5392,,,,,,,
Family3_GokushovirinaeB_MG945144,Pig,Other mammal,50,4823,,,,,,,
Family3_GokushovirinaeB_MG945145,Pig,Other mammal,39,4723,,,,,,,
Family3_GokushovirinaeB_MG945146,Pig,Other mammal,46,5095,,,,,,,
Family3_GokushovirinaeB_MG945150,Pig,Other mammal,40,5038,,,,,,,
Family3_GokushovirinaeB_MG945152,Pig,Other mammal,38,4802,,,,,,,
Family3_GokushovirinaeB_MG945153,Pig,Other mammal,43,4913,,,,,,,
Family3_GokushovirinaeB_MG945157,Pig,Other mammal,47,5257,,,,,,,
Family3_GokushovirinaeB_MG945158,Pig,Other mammal,43,5009,,,,,,,
Family3_GokushovirinaeB_MG945162,Pig,Other mammal,46,5707,,,,,,,
Family3_GokushovirinaeB_MG945163,Pig,Other mammal,43,4938,,,,,,,
Family3_GokushovirinaeB_MG945171,Pig,Other mammal,45,4496,,,,,,,
Family3_GokushovirinaeB_MG945172,Pig,Other mammal,40,4213,,,,,,,
Family3_GokushovirinaeB_MG945181,Pig,Other mammal,45,5000,,,,,,,
Family3_GokushovirinaeB_MG945186,Pig,Other mammal,49,5631,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium,Faecalibacterium,n/a
Family3_GokushovirinaeB_MG945190,Pig,Other mammal,46,4946,,,,,,,
Family3_GokushovirinaeB_MG945193,Pig,Other mammal,46,4225,,,,,,,
Family3_GokushovirinaeB_MG945196,Pig,Other mammal,39,4542,,,,,,,
Family3_GokushovirinaeB_MG945199,Pig,Other mammal,49,5225,,,,,,,
Family3_GokushovirinaeB_MG945200,Pig,Other mammal,46,4453,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium,Faecalibacterium,n/a
Family3_GokushovirinaeB_MG945203,Pig,Other mammal,46,5108,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,Ruminococcus,n/a
Family3_GokushovirinaeB_MG945205,Pig,Other mammal,46,4902,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Flavonifractor,Flavonifractor,n/a
Family3_GokushovirinaeB_MG945207,Pig,Other mammal,47,5057,,,,,,,
Family3_GokushovirinaeB_MG945211,Pig,Other mammal,45,4986,,,,,,,
Family3_GokushovirinaeB_MG945213,Pig,Other mammal,45,4873,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Nitrospira,Nitrospira,n/a
Family3_GokushovirinaeB_MG945217,Pig,Other mammal,42,4832,,,,,,,
Family3_GokushovirinaeB_MG945219,Pig,Other mammal,45,5201,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium,Faecalibacterium,n/a
Family3_GokushovirinaeB_MG945221,Cow,Other mammal,35,5198,,,,,,,
Family3_GokushovirinaeB_MG945223,Cow,Other mammal,50,5145,,,,,,,
Family3_GokushovirinaeB_MG945225,Pig,Other mammal,42,4464,,,,,,,
Family3_GokushovirinaeB_MG945226,Alces alces,Other mammal,46,4474,,,,,,,
Family3_GokushovirinaeB_MG945227,Pig,Other mammal,46,5153,,,,,,,
Family3_GokushovirinaeB_MG945231,Pig,Other mammal,48,4994,,,,,,,
Family3_GokushovirinaeB_MG945232,Pig,Other mammal,46,5101,,,,,,,
Family3_GokushovirinaeB_MG945233,Pig,Other mammal,46,6127,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium,Faecalibacterium,n/a
Family3_GokushovirinaeB_MG945237,Pig,Other mammal,46,4765,,,,,,,
Family3_GokushovirinaeB_MG945238,Pig,Other mammal,49,5060,,,,,,,
Family3_GokushovirinaeB_MG945242,Dog,Other mammal,40,5320,,,,,,,
Family3_GokushovirinaeB_MG945247,Alces alces,Other mammal,42,4922,,,,,,,
Family3_GokushovirinaeB_MG945271,Cow,Other mammal,38,5626,,,,,,,
Family3_GokushovirinaeB_MG945273,Alces alces,Other mammal,49,4952,,,,,,,
Family3_GokushovirinaeB_MG945274,Alces alces,Other mammal,42,5414,,,,,,,
Family3_GokushovirinaeB_MG945278,Alces alces,Other mammal,39,5430,,,,,,,
Family3_GokushovirinaeB_MG945283,Alces alces,Other mammal,56,5297,,,,,,,
Family3_GokushovirinaeB_MG945285,Alces alces,Other mammal,39,5537,,,,,,,
Family3_GokushovirinaeB_MG945286,Alces alces,Other mammal,35,5332,,,,,,,
Family3_GokushovirinaeB_MG945287,Yak,Other mammal,40,4356,,,,,,,
Family3_GokushovirinaeB_MG945289,Yak,Other mammal,37,4793,,,,,,,
Family3_GokushovirinaeB_MG945295,Pig,Other mammal,42,4867,,,,,,,
Family3_GokushovirinaeB_MG945296,Pig,Other mammal,46,5226,,,,,,,
Family3_GokushovirinaeB_MG945297,Pig,Other mammal,42,4573,,,,,,,
Family3_GokushovirinaeB_MG945301,Pig,Other mammal,48,3614,,,,,,,
Family3_GokushovirinaeB_MG945303,Pig,Other mammal,42,4557,Firmicutes,Clostridia,Eubacteriales,,Emergencia,Emergencia,n/a
Family3_GokushovirinaeB_MG945306,Yak,Other mammal,37,5331,,,,,,,
Family3_GokushovirinaeB_MG945307,Yak,Other mammal,43,5488,,,,,,,
Family3_GokushovirinaeB_MG945310,Yak,Other mammal,42,5250,,,,,,,
Family3_GokushovirinaeB_MG945311,Yak,Other mammal,38,5356,,,,,,,
Family3_GokushovirinaeB_MG945312,Yak,Other mammal,40,5318,,,,,,,
Family3_GokushovirinaeB_MG945317,Pig,Other mammal,38,5278,,,,,,,
Family3_GokushovirinaeB_MG945318,Pig,Other mammal,43,4885,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Parasutterella,Parasutterella,n/a
Family3_GokushovirinaeB_MG945319,Pig,Other mammal,47,5213,,,,,,,
Family3_GokushovirinaeB_MG945325,Pig,Other mammal,48,4865,,,,,,,
Family3_GokushovirinaeB_MG945330,Pig,Other mammal,45,4774,,,,,,,
Family3_GokushovirinaeB_MG945331,Pig,Other mammal,46,4732,,,,,,,
Family3_GokushovirinaeB_MG945333,Pig,Other mammal,45,4884,,,,,,,
Family3_GokushovirinaeB_MG945334,Pig,Other mammal,44,5633,,,,,,,
Family3_GokushovirinaeB_MG945335,Pig,Other mammal,40,5399,,,,,,,
Family3_GokushovirinaeB_MG945338,Yak,Other mammal,36,5790,,,,,,,
Family3_GokushovirinaeB_MG945339,Pig,Other mammal,43,5099,,,,,,,
Family3_GokushovirinaeB_MG945340,Pig,Other mammal,44,4904,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Parasutterella,Parasutterella,n/a
Family3_GokushovirinaeB_MG945343,Pig,Other mammal,40,4440,,,,,,,
Family3_GokushovirinaeB_MG945346,Pig,Other mammal,45,4888,Firmicutes,Clostridia,Eubacteriales,,Lawsonibacter,Lawsonibacter,n/a
Family3_GokushovirinaeB_MG945347,Pig,Other mammal,46,5373,,,,,,,
Family3_GokushovirinaeB_MG945351,Pig,Other mammal,39,5466,,,,,,,
Family3_GokushovirinaeB_MG945355,Pig,Other mammal,42,4947,,,,,,,
Family3_GokushovirinaeB_MG945359,Pig,Other mammal,40,4687,,,,,,,
Family3_GokushovirinaeB_MG945361,Pig,Other mammal,50,5057,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Flavonifractor,Flavonifractor,n/a
Family3_GokushovirinaeB_MG945363,Pig,Other mammal,43,4815,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,n/a
Family3_GokushovirinaeB_MG945366,Pig,Other mammal,42,4664,,,,,,,
Family3_GokushovirinaeB_MG945372,Pig,Other mammal,47,4826,,,,,,,
Family3_GokushovirinaeB_MG945373,Pig,Other mammal,48,5530,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium,Faecalibacterium,n/a
Family3_GokushovirinaeB_MG945376,Pig,Other mammal,43,3611,,,,,,,
Family3_GokushovirinaeB_MG945377,Pig,Other mammal,44,5426,,,,,,,
Family3_GokushovirinaeB_MG945378,Pig,Other mammal,44,4045,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium,Faecalibacterium,n/a
Family3_GokushovirinaeB_MG945381,Pig,Other mammal,48,5503,,,,,,,
Family3_GokushovirinaeB_MG945382,Pig,Other mammal,46,5785,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium,Faecalibacterium,n/a
Family3_GokushovirinaeB_MG945383,Pig,Other mammal,44,5841,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium,Faecalibacterium,n/a
Family3_GokushovirinaeB_MG945385,Pig,Other mammal,46,5208,,,,,,,
Family3_GokushovirinaeB_MG945386,Pig,Other mammal,38,5639,,,,,,,
Family3_GokushovirinaeB_MG945387,Pig,Other mammal,46,4832,,,,,,,
Family3_GokushovirinaeB_MG945388,Pig,Other mammal,45,5664,,,,,,,
Family3_GokushovirinaeB_MG945389,Pig,Other mammal,46,5202,,,,,,,
Family3_GokushovirinaeB_MG945391,Pig,Other mammal,48,5367,,,,,,,
Family3_GokushovirinaeB_MG945393,Pig,Other mammal,42,4964,,,,,,,
Family3_GokushovirinaeB_MG945394,Pig,Other mammal,46,5345,,,,,,,
Family3_GokushovirinaeB_MG945398,Pig,Other mammal,43,5025,,,,,,,
Family3_GokushovirinaeB_MG945399,Pig,Other mammal,40,6330,Bacteroidetes,Flavobacteriia,Flavobacteriales,Weeksellaceae,Elizabethkingia,Elizabethkingia,n/a
Family3_GokushovirinaeB_MG945402,Pig,Other mammal,44,4988,,,,,,,
Family3_GokushovirinaeB_MG945403,Pig,Other mammal,42,4756,,,,,,,
Family3_GokushovirinaeB_MG945407,Pig,Other mammal,44,4932,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Gallionellaceae,Gallionella,Gallionella,n/a
Family3_GokushovirinaeB_MG945410,Pig,Other mammal,46,5385,,,,,,,
Family3_GokushovirinaeB_MG945415,Pig,Other mammal,46,5022,,,,,,,
Family3_GokushovirinaeB_MG945416,Pig,Other mammal,46,5385,,,,,,,
Family3_GokushovirinaeB_MG945423,Pig,Other mammal,48,5313,,,,,,,
Family3_GokushovirinaeB_MG945424,Pig,Other mammal,43,5021,,,,,,,
Family3_GokushovirinaeB_MG945428,Pig,Other mammal,42,4780,,,,,,,
Family3_GokushovirinaeB_MG945429,Pig,Other mammal,43,5104,,,,,,,
Family3_GokushovirinaeB_MG945430,Pig,Other mammal,45,5668,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium,Faecalibacterium,n/a
Family3_GokushovirinaeB_MG945431,Pig,Other mammal,41,4675,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Desulfovibrio,n/a
Family3_GokushovirinaeB_MG945435,Pig,Other mammal,43,4800,,,,,,,
Family3_GokushovirinaeB_MG945437,Yak,Other mammal,38,5507,,,,,,,
Family3_GokushovirinaeB_MG945438,Pig,Other mammal,46,4842,,,,,,,
Family3_GokushovirinaeB_MG945440,Yak,Other mammal,38,5259,,,,,,,
Family3_GokushovirinaeB_MG945444,Pig,Other mammal,45,5028,,,,,,,
Family3_GokushovirinaeB_MG945447,Pig,Other mammal,46,5900,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium,Faecalibacterium,n/a
Family3_GokushovirinaeB_MG945454,Pig,Other mammal,40,5274,,,,,,,
Family3_GokushovirinaeB_MG945459,Pig,Other mammal,43,4926,,,,,,,
Family3_GokushovirinaeB_MG945461,Pig,Other mammal,43,5241,,,,,,,
Family3_GokushovirinaeB_MG945467,Human,Primate,50,5083,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Flavonifractor,Flavonifractor,n/a
Family3_GokushovirinaeB_MG945476,Dog,Other mammal,32,5052,,,,,,,
Family3_GokushovirinaeB_MG945486,Pig,Other mammal,46,4911,,,,,,,
Family3_GokushovirinaeB_MG945489,Pig,Other mammal,37,4760,,,,,,,
Family3_GokushovirinaeB_MG945490,Pig,Other mammal,38,4506,,,,,,,
Family3_GokushovirinaeB_MG945492,Yak,Other mammal,40,5634,,,,,,,
Family3_GokushovirinaeB_MG945499,Dog,Other mammal,44,5128,,,,,,,
Family3_GokushovirinaeB_MG945501,Pig,Other mammal,39,4451,,,,,,,
Family3_GokushovirinaeB_MG945503,Pig,Other mammal,42,5535,,,,,,,
Family3_GokushovirinaeB_MG945508,Pig,Other mammal,37,5030,,,,,,,
Family3_GokushovirinaeB_MG945517,Pig,Other mammal,45,4985,,,,,,,
Family3_GokushovirinaeB_MG945519,Pig,Other mammal,43,5590,,,,,,,
Family3_GokushovirinaeB_MG945523,Pig,Other mammal,41,5614,,,,,,,
Family3_GokushovirinaeB_MG945526,Pig,Other mammal,35,5006,,,,,,,
Family3_GokushovirinaeB_MG945530,Pig,Other mammal,43,5193,,,,,,,
Family3_GokushovirinaeB_MG945531,Pig,Other mammal,42,5439,,,,,,,
Family3_GokushovirinaeB_MG945538,Pig,Other mammal,46,5241,,,,,,,
Family3_GokushovirinaeB_MG945541,Pig,Other mammal,42,4916,,,,,,,
Family3_GokushovirinaeB_MG945542,Pig,Other mammal,43,5005,,,,,,,
Family3_GokushovirinaeB_MG945543,Pig,Other mammal,53,5036,,,,,,,
Family3_GokushovirinaeB_MG945545,Pig,Other mammal,39,5092,,,,,,,
Family3_GokushovirinaeB_MG945548,Pig,Other mammal,46,4986,,,,,,,
Family3_GokushovirinaeB_MG945550,Pig,Other mammal,42,5490,,,,,,,
Family3_GokushovirinaeB_MG945552,Pig,Other mammal,51,4477,,,,,,,
Family3_GokushovirinaeB_MG945553,Pig,Other mammal,42,4976,,,,,,,
Family3_GokushovirinaeB_MG945559,Dog,Other mammal,46,5076,,,,,,,
Family3_GokushovirinaeB_MG945565,Pig,Other mammal,46,5058,,,,,,,
Family3_GokushovirinaeB_MG945566,Dog,Other mammal,44,5133,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter,n/a
Family3_GokushovirinaeB_MG945569,Pig,Other mammal,49,5621,,,,,,,
Family3_GokushovirinaeB_MG945570,Pig,Other mammal,44,4864,,,,,,,
Family3_GokushovirinaeB_MG945586,Pig,Other mammal,43,4928,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes,n/a
Family3_GokushovirinaeB_MG945587,Pig,Other mammal,44,4860,,,,,,,
Family3_GokushovirinaeB_MG945589,Pig,Other mammal,48,4960,,,,,,,
Family3_GokushovirinaeB_MG945590,Pig,Other mammal,44,5415,,,,,,,
Family3_GokushovirinaeB_MG945591,Pig,Other mammal,54,5089,,,,,,,
Family3_GokushovirinaeB_MG945592,Pig,Other mammal,41,4883,Firmicutes,Clostridia,Eubacteriales,,Emergencia,Emergencia,n/a
Family3_GokushovirinaeB_MG945593,Cow,Other mammal,34,6069,,,,,,,
Family3_GokushovirinaeB_MG945596,Pig,Other mammal,45,4845,,,,,,,
Family3_GokushovirinaeB_MG945597,Cow,Other mammal,46,5256,,,,,,,
Family3_GokushovirinaeB_MG945598,Pig,Other mammal,43,4979,,,,,,,
Family3_GokushovirinaeB_MG945600,Yak,Other mammal,37,5325,,,,,,,
Family3_GokushovirinaeB_MG945602,Macaque,Primate,44,5038,,,,,,,
Family3_GokushovirinaeB_MG945605,Yak,Other mammal,40,5689,,,,,,,
Family3_GokushovirinaeB_MG945607,Yak,Other mammal,40,5317,,,,,,,
Family3_GokushovirinaeB_MG945620,Pig,Other mammal,46,5079,,,,,,,
Family3_GokushovirinaeB_MG945624,Cow,Other mammal,38,5769,,,,,,,
Family3_GokushovirinaeB_MG945627,Cow,Other mammal,38,5367,,,,,,,
Family3_GokushovirinaeB_MG945635,Cow,Other mammal,34,5144,,,,,,,
Family3_GokushovirinaeB_MG945639,Cow,Other mammal,40,5385,,,,,,,
Family3_GokushovirinaeB_MG945642,Pig,Other mammal,44,5758,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium,Faecalibacterium,n/a
Family3_GokushovirinaeB_MG945645,Bird,Bird,44,4998,,,,,,,
Family3_GokushovirinaeB_MG945646,Bird,Bird,42,4919,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,Ruminococcus,n/a
Family3_GokushovirinaeB_MG945657,Human,Primate,47,5695,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium,Faecalibacterium,n/a
Family3_GokushovirinaeB_MG945658,Human,Primate,45,4339,,,,,,,
Family3_GokushovirinaeB_MG945659,Mink,Other mammal,48,4635,,,,,,,
Family3_GokushovirinaeB_MG945665,Pig,Other mammal,38,4592,,,,,,,
Family3_GokushovirinaeB_MG945671,Pig,Other mammal,44,4922,,,,,,,
Family3_GokushovirinaeB_MG945672,Cow,Other mammal,36,5379,,,,,,,
Family3_GokushovirinaeB_MG945673,Pig,Other mammal,46,4906,,,,,,,
Family3_GokushovirinaeB_MG945674,Pig,Other mammal,44,4946,,,,,,,
Family3_GokushovirinaeB_MG945675,Pig,Other mammal,44,5022,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Flavonifractor,Flavonifractor,n/a
Family3_GokushovirinaeB_MG945681,Pig,Other mammal,41,5008,,,,,,,
Family3_GokushovirinaeB_MG945684,Pig,Other mammal,42,4972,,,,,,,
Family3_GokushovirinaeB_MG945689,Pig,Other mammal,52,5382,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium,Faecalibacterium,n/a
Family3_GokushovirinaeB_MG945691,Pig,Other mammal,45,4905,,,,,,,
Family3_GokushovirinaeB_MG945693,Pig,Other mammal,43,5399,,,,,,,
Family3_GokushovirinaeB_MG945694,Pig,Other mammal,44,5967,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium,Faecalibacterium,n/a
Family3_GokushovirinaeB_MG945699,Pig,Other mammal,46,4909,,,,,,,
Family3_GokushovirinaeB_MG945700,Pig,Other mammal,42,5006,,,,,,,
Family3_GokushovirinaeB_MG945705,Pig,Other mammal,44,4946,,,,,,,
Family3_GokushovirinaeB_MG945707,Pig,Other mammal,41,5283,Bacteroidetes,Flavobacteriia,Flavobacteriales,Weeksellaceae,Elizabethkingia,Elizabethkingia,n/a
Family3_GokushovirinaeB_MG945708,Pig,Other mammal,47,5170,,,,,,,
Family3_GokushovirinaeB_MG945710,Pig,Other mammal,47,4846,,,,,,,
Family3_GokushovirinaeB_MG945714,Pig,Other mammal,50,5102,,,,,,,
Family3_GokushovirinaeB_MG945715,Human,Primate,37,5427,,,,,,,
Family3_GokushovirinaeB_MG945718,Pig,Other mammal,41,4948,,,,,,,
Family3_GokushovirinaeB_MG945720,Pig,Other mammal,40,5235,,,,,,,
Family3_GokushovirinaeB_MG945728,Pig,Other mammal,41,4707,Firmicutes,Clostridia,Eubacteriales,,Emergencia,Emergencia,n/a
Family3_GokushovirinaeB_MG945729,Pig,Other mammal,40,4705,,,,,,,
Family3_GokushovirinaeB_MG945731,Pig,Other mammal,44,4925,,,,,,,
Family3_GokushovirinaeB_MG945736,Pig,Other mammal,46,4980,,,,,,,
Family3_GokushovirinaeB_MG945738,Pig,Other mammal,40,4731,,,,,,,
Family3_GokushovirinaeB_MG945740,Pig,Other mammal,43,4997,,,,,,,
Family3_GokushovirinaeB_MG945741,Pig,Other mammal,46,5136,,,,,,,
Family3_GokushovirinaeB_MG945742,Pig,Other mammal,40,5624,,,,,,,
Family3_GokushovirinaeB_MG945744,Pig,Other mammal,46,4998,,,,,,,
Family3_GokushovirinaeB_MG945746,Pig,Other mammal,46,5289,,,,,,,
Family3_GokushovirinaeB_MG945749,Pig,Other mammal,40,4827,,,,,,,
Family3_GokushovirinaeB_MG945751,Alces alces,Other mammal,39,5364,,,,,,,
Family3_GokushovirinaeB_MG945753,Pig,Other mammal,45,5886,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium,Faecalibacterium,n/a
Family3_GokushovirinaeB_MG945758,Pig,Other mammal,45,4715,,,,,,,
Family3_GokushovirinaeB_MG945761,Cow,Other mammal,46,4710,,,,,,,
Family3_GokushovirinaeB_MG945765,Pig,Other mammal,48,5073,,,,,,,
Family3_GokushovirinaeB_MG945767,Cow,Other mammal,35,5656,,,,,,,
Family3_GokushovirinaeB_MG945768,Pig,Other mammal,45,4916,,,,,,,
Family3_GokushovirinaeB_MG945770,Pig,Other mammal,45,5060,,,,,,,
Family3_GokushovirinaeB_MG945771,Pig,Other mammal,48,5302,,,,,,,
Family3_GokushovirinaeB_MG945775,Pig,Other mammal,38,4923,,,,,,,
Family3_GokushovirinaeB_MG945778,Pig,Other mammal,41,5402,,,,,,,
Family3_GokushovirinaeB_MG945780,Pig,Other mammal,47,5468,,,,,,,
Family3_GokushovirinaeB_MG945781,Macaque,Primate,44,5572,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium,Faecalibacterium,n/a
Family3_GokushovirinaeB_MG945782,Pig,Other mammal,41,4470,,,,,,,
Family3_GokushovirinaeB_MG945783,Pig,Other mammal,46,5102,,,,,,,
Family3_GokushovirinaeB_MG945786,Pig,Other mammal,45,5164,,,,,,,
Family3_GokushovirinaeB_MG945787,Pig,Other mammal,45,5008,,,,,,,
Family3_GokushovirinaeB_MG945793,Pig,Other mammal,45,4803,,,,,,,
Family3_GokushovirinaeB_MG945796,Pig,Other mammal,47,4989,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,Ruminococcus,n/a
Family3_GokushovirinaeB_MG945797,Pig,Other mammal,49,5562,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium,Faecalibacterium,n/a
Family3_GokushovirinaeB_MG945801,Pig,Other mammal,47,5190,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,Ruminococcus,n/a
Family3_GokushovirinaeB_MG945802,Pig,Other mammal,43,5224,,,,,,,
Family3_GokushovirinaeB_MG945809,Pig,Other mammal,43,5496,,,,,,,
Family3_GokushovirinaeB_MG945812,Yak,Other mammal,41,5732,,,,,,,
Family3_GokushovirinaeB_MG945819,Pig,Other mammal,48,5302,,,,,,,
Family3_GokushovirinaeB_MG945820,Pig,Other mammal,49,5063,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Flavonifractor,Flavonifractor,n/a
Family3_GokushovirinaeB_MG945825,Yak,Other mammal,41,5725,,,,,,,
Family3_GokushovirinaeB_MG945853,Primate,Primate,47,4900,,,,,,,
Family3_GokushovirinaeB_MG945855,Mink,Other mammal,48,5500,,,,,,,
Family3_GokushovirinaeB_MG945858,Raccoon,Other mammal,47,5259,,,,,,,
Family3_GokushovirinaeB_MG945860,Mink,Other mammal,50,4316,,,,,,,
Family3_GokushovirinaeB_MG945862,Raccoon,Other mammal,46,4859,,,,,,,
Family3_GokushovirinaeB_MG945864,Fox,Other mammal,46,5015,,,,,,,
Family3_GokushovirinaeB_MG945867,Mink,Other mammal,49,5567,,,,,,,
Family3_GokushovirinaeB_MG945869,Fox,Other mammal,49,5392,,,,,,,
Family3_GokushovirinaeB_MG945870,Fox,Other mammal,48,5757,,,,,,,
Family3_GokushovirinaeB_MG945872,Pig,Other mammal,41,4394,,,,,,,
Family3_GokushovirinaeB_MG945889,Pig,Other mammal,44,5077,,,,,,,
Family3_GokushovirinaeB_MG945891,Cow,Other mammal,40,5233,,,,,,,
Family3_GokushovirinaeB_MG945907,Pig,Other mammal,45,4960,,,,,,,
Family3_GokushovirinaeB_MG945908,Pig,Other mammal,49,4307,,,,,,,
Family3_GokushovirinaeB_MG945911,Cow,Other mammal,36,6608,,,,,,,
Family3_GokushovirinaeB_MH552496,Macaque,Primate,42,5223,,,,,,,
Family3_GokushovirinaeB_MH552498,Mouse,Other mammal,41,5648,,,,,,,
Family3_GokushovirinaeB_MH552509,Macaque,Primate,42,5135,,,,,,,
